postcode;n;longitude;latitude
1951;129;4.588913199999999;52.4803904
1961;34;4.671251;52.5112373
1962;189;4.6790163;52.5129352
1963;126;4.685546;52.5220321
1964;184;4.6573346;52.5124538
1965;129;4.6607167;52.502967
1966;113;4.6829176;52.4967463
1967;52;4.6951459;52.5002702
1968;9;4.6657307;52.5228147
1969;38;4.6148846;52.5167888
1971;216;4.627739;52.4548409
1972;206;4.6102956;52.4595275
1973;130;4.602827;52.45447739999999
1974;136;4.5789114;52.4500648
1975;70;4.6031707;52.4664815
1976;31;4.5722245;52.4596694
1981;71;4.6786445;52.4421579
1985;82;4.6400197;52.4490193
1991;285;4.664574400000001;52.43737369999999
1992;80;4.667234;52.4285923
2011;384;4.6359168;52.3851244
2012;338;4.626684;52.3694813
2013;208;4.6241968;52.38424939999999
2014;192;4.615857;52.3739053
2015;145;4.6087539;52.3808509
2019;4;4.6419648;52.38113569999999
2021;200;4.6452444;52.3914281
2022;182;4.6503149;52.4019018
2023;268;4.6311222;52.3959841
2024;228;4.639475099999999;52.4063303
2025;214;4.6520997;52.4125062
2026;130;4.6553076;52.4217216
2031;70;4.663994199999999;52.3946923
2032;207;4.6561595;52.3776599
2033;303;4.6669893;52.3732317
2034;266;4.6446058;52.3581107
2035;154;4.6609438;52.366802
2036;196;4.6493899;52.3472564
2037;199;4.6643064;52.3573351
2041;215;4.5599539;52.3854103
2042;248;4.554488399999999;52.3722842
2051;120;4.596502;52.386663
2061;221;4.5971853;52.4106502
2063;24;4.674156099999999;52.41564
2064;70;4.7099119;52.4115525
2065;11;4.690822799999999;52.3869608
2071;200;4.6081788;52.43691399999999
2082;101;4.6355674;52.4224968
2101;241;4.617461899999999;52.3538408
2102;142;4.6305876;52.3533274
2103;102;4.6236714;52.3415997
2104;105;4.6073677;52.3329057
2105;102;4.6039935;52.3423678
2106;80;4.607082399999999;52.3609123
2111;161;4.5958188;52.3626841
2114;67;4.5774305;52.3314033
2116;41;4.5341781;52.3490654
2121;140;4.5990494;52.32256770000001
2131;258;4.6954889;52.3267719
2132;280;4.7032139;52.29448379999999
2133;154;4.6693874;52.3091489
2134;345;4.6394394;52.30766370000001
2135;273;4.6638765;52.2960432
2136;45;4.624383;52.3162487
2141;113;4.6833941;52.3524831
2142;20;4.6476088;52.3366619
2143;10;4.7290512;52.358763
2144;19;4.6003166;52.2905423
2151;276;4.6061706;52.2663418
2152;225;4.6358893;52.2864878
2153;93;4.6567455;52.2537068
2154;10;4.6717688;52.2451255
2155;2;4.6634422;52.2348055
2156;11;4.6494728;52.2300324
2157;36;4.5991323;52.2240188
2158;14;4.560929;52.2215085
2159;17;4.567561899999999;52.21193820000001
2161;321;4.5390443;52.2582886
2162;178;4.5597352;52.24417949999999
2163;64;4.5650765;52.2666055
2165;71;4.5745501;52.2542562
2171;266;4.5097116;52.2194839
2172;153;4.5366712;52.2237737
2181;231;4.595528799999999;52.3013857
2182;298;4.572175000000001;52.2996272
2191;50;4.542290299999999;52.29811549999999
2201;325;4.4408403;52.2194329
2202;277;4.427515400000001;52.23856230000001
2203;119;4.4657791;52.2317986
2204;32;4.5010698;52.30768579999999
2211;352;4.4998548;52.259788
2215;339;4.4946966;52.2280401
2221;285;4.4102653;52.2125964
2222;7;4.4332012;52.202426
2223;160;4.4172284;52.18440529999999
2224;211;4.4060561;52.1861525
2225;334;4.3938879;52.1919254
2231;351;4.4504697;52.197786
2235;117;4.4323689;52.1665528
2241;256;4.4196634;52.1484196
2242;295;4.3786965;52.1579215
2243;115;4.362377599999999;52.1372617
2244;79;4.3331203;52.1170822
2245;58;4.402470399999999;52.1224859
2251;287;4.4479153;52.1207815
2252;163;4.4202577;52.1111932
2253;210;4.4578084;52.14166880000001
2254;9;4.4219431;52.1217577
2261;123;4.3903821;52.0976984
2262;107;4.385886999999999;52.08989769999999
2263;139;4.4120868;52.100873
2264;207;4.3956096;52.0895358
2265;107;4.4016728;52.08665389999999
2266;156;4.446499999999999;52.09161229999999
2267;16;4.3559008;52.0598103
2271;184;4.370011799999999;52.0718988
2272;215;4.3706813;52.0864785
2273;262;4.3615446;52.0801779
2274;302;4.3505874;52.0726169
2275;115;4.3521668;52.0619392
2281;146;4.3416333;52.0570183
2282;315;4.334339;52.051978
2283;171;4.3252257;52.04567729999999
2284;150;4.3161176;52.0393765
2285;176;4.3041937;52.0358319
2286;223;4.315475;52.0248062
2287;118;4.3273982;52.028349
2288;51;4.3365072;52.0346479
2289;43;4.348027399999999;52.0355505
2291;285;4.275913000000001;52.0209416
2292;59;4.2870064;52.01921230000001
2295;109;4.261382999999999;52.01085699999999
2311;299;4.4882196;52.1577953
2312;383;4.4923299;52.1629565
2313;302;4.4999459;52.1493732
2314;134;4.5180546;52.1500105
2315;251;4.5086017;52.162336
2316;273;4.496441799999999;52.16811790000001
2317;327;4.5093401;52.1769334
2318;101;4.5018441;52.1812088
2321;244;4.4832557;52.1473501
2322;5;4.4968184;52.1401887
2323;5;4.482103;52.13011729999999
2324;235;4.4730743;52.1450782
2331;240;4.4465059;52.1527279
2332;217;4.462198799999999;52.158782
2333;51;4.475075599999999;52.1676004
2334;83;4.481025;52.1740226
2341;265;4.472542199999999;52.1823226
2342;31;4.4629141;52.1733791
2343;326;4.4793487;52.1940338
2351;147;4.5506014;52.14875989999999
2352;201;4.524877399999999;52.16171319999999
2353;274;4.5345305;52.1706496
2355;48;4.575574599999999;52.161088
2361;202;4.5173376;52.2058881
2362;7;4.5379939;52.1917941
2371;203;4.619969;52.1912745
2374;30;4.5529892;52.1832368
2375;50;4.5836412;52.1900305
2376;27;4.605850999999999;52.2051289
2377;106;4.6402743;52.214425
2381;177;4.5148484;52.110268
2382;87;4.52848;52.1336619
2391;164;4.596757999999999;52.0911645
2394;164;4.620669599999999;52.11679909999999
2396;133;4.5981347;52.13894209999999
2401;190;4.638996199999999;52.1479765
2402;294;4.6770935;52.1597673
2403;230;4.6874644;52.1434023
2404;135;4.6400437;52.1346432
2405;174;4.6601165;52.1272069
2406;211;4.672636199999999;52.1333569
2407;18;4.698847;52.1137109
2408;244;4.6504189;52.1182876
2409;3;4.6477615;52.1024489
2411;366;4.753009;52.0849705
2415;40;4.8051702;52.0828563
2421;208;4.7825776;52.1422436
2431;40;4.8254662;52.1617711
2432;5;4.8553571;52.1725145
2435;69;4.802968400000001;52.1839695
2441;89;4.7524482;52.1966572
2445;35;4.728528799999999;52.1337881
2451;112;4.6906421;52.2204189
2461;219;4.7152449;52.1715465
2465;36;4.6739901;52.19979
2471;44;4.7268351;52.1046205
2481;95;4.6443093;52.1796789
2491;15;4.3876135;52.0699178
2492;186;4.4126867;52.06367239999999
2493;91;4.4035413;52.0573774
2495;14;4.3610449;52.0563021
2496;170;4.3713307;52.0492854
2497;154;4.3631992;52.0389706
2498;91;4.3831807;52.0315953
2511;113;4.3190482;52.07908630000001
2512;282;4.3052854;52.0742791
2513;193;4.299634999999999;52.0797955
2514;147;4.310161799999999;52.084722
2515;244;4.3178146;52.0711662
2516;195;4.3414621;52.0663158
2517;254;4.2865074;52.0895671
2518;264;4.289930399999999;52.0801488
2521;121;4.3185376;52.0869388
2522;343;4.3291074;52.0601333
2523;139;4.3180824;52.0572194
2524;187;4.3149385;52.0526894
2525;284;4.3032365;52.06108
2526;261;4.3076999;52.0688811
2531;207;4.3048307;52.0504046
2532;135;4.2943174;52.04548
2533;206;4.28726;52.0523718
2541;192;4.280986899999999;52.0433108
2542;202;4.2704843;52.0383843
2543;147;4.261203099999999;52.0413737
2544;248;4.2460684;52.0379392
2545;244;4.269286;52.05169679999999
2546;152;4.2726238;52.05754779999999
2547;189;4.2676802;52.062372
2548;233;4.2904563;52.0310257
2551;302;4.236382499999999;52.0595187
2552;360;4.2484934;52.0537747
2553;243;4.218228499999999;52.0468992
2554;69;4.2232578;52.06928
2555;321;4.239006100000001;52.0660605
2561;139;4.2807301;52.0784917
2562;272;4.2826458;52.0751033
2563;281;4.2688992;52.0702918
2564;264;4.2587971;52.0680022
2565;372;4.260013799999999;52.0759228
2566;291;4.254359099999999;52.081437
2571;199;4.2873864;52.0689576
2572;190;4.2939462;52.0640732
2573;290;4.284247700000001;52.0644259
2574;227;4.278489;52.0639713
2581;104;4.2698284;52.0921637
2582;290;4.2757952;52.0939393
2583;280;4.2541606;52.09073799999999
2584;210;4.281164899999999;52.1023763
2585;224;4.3002696;52.0943777
2586;235;4.2814776;52.1096695
2587;219;4.2948375;52.1118404
2591;186;4.3632065;52.0907388
2592;196;4.350249499999999;52.0912173
2593;247;4.3429446;52.0861751
2594;59;4.3409469;52.0942158
2595;164;4.332406;52.0812517
2596;208;4.3196925;52.0936681
2597;270;4.315684;52.10975149999999
2611;340;4.3590515;52.0125913
2612;257;4.3649355;52.0190058
2613;335;4.3475376;52.0116901
2614;204;4.334205799999999;52.00952840000001
2616;8;4.3792724;52.01714759999999
2622;177;4.3411751;51.9814255
2623;180;4.362773199999999;51.9846053
2624;332;4.3557381;51.991495
2625;328;4.33637;51.9922092
2626;2;4.3661635;51.9751995
2627;35;4.3724582;51.9842464
2628;268;4.3767752;52.0013243
2629;12;4.3871967;51.98502449999999
2631;282;4.4121456;52.039803
2632;66;4.3898329;52.0479345
2635;138;4.3121936;52.0037046
2636;126;4.32299;51.9688378
2641;352;4.436355;52.0282796
2642;110;4.4495773;52.0092089
2643;11;4.4436686;52.00280009999999
2645;150;4.403764;51.9870584
2651;364;4.4735032;52.01626230000001
2652;141;4.4672927;51.9979283
2661;277;4.5072177;51.9831471
2662;79;4.4928735;51.98502089999999
2665;263;4.534383699999999;52.0298572
2671;375;4.206591599999999;51.9916086
2672;68;4.218867599999999;51.9977992
2673;35;4.203158699999999;52.0010123
2675;194;4.237598200000001;52.0037574
2676;111;4.2166845;51.9514856
2678;276;4.2511269;51.9744095
2681;323;4.1892251;52.02670630000001
2684;27;4.1829569;52.038868
2685;156;4.2250963;52.0280795
2691;374;4.1699834;51.9849551
2692;65;4.1576762;51.9999732
2693;18;4.180323500000001;51.9945318
2694;38;4.1643986;52.0070288
2711;101;4.4923063;52.0619937
2712;206;4.4952457;52.04993529999999
2713;151;4.4845399;52.0543248
2715;141;4.474815;52.05469429999999
2716;224;4.450720599999999;52.0569335
2717;192;4.4690508;52.069515
2718;170;4.5000171;52.039136
2719;191;4.4684647;52.0456444
2721;130;4.541512;52.05347159999999
2722;153;4.5090727;52.05471660000001
2723;108;4.5229073;52.0594964
2724;199;4.5107895;52.0652707
2725;150;4.507733;52.0866321
2726;164;4.4899179;52.0673948
2727;128;4.5102405;52.0719299
2728;173;4.5208371;52.0768352
2729;179;4.5367495;52.0642748
2731;97;4.557961;52.0740784
2735;2;4.5280773;52.091165
2741;279;4.6603398;52.0408702
2742;205;4.6213579;52.0424048
2743;117;4.634871299999999;52.0352383
2751;108;4.584142;52.0544767
2752;10;4.5736313;52.0402845
2761;181;4.5827851;52.00675769999999
2771;359;4.6674407;52.0830757
2801;262;4.705070099999999;52.015206
2802;257;4.7032818;52.0046635
2803;244;4.6938602;52.0262685
2804;315;4.7077547;52.0310227
2805;236;4.7254646;52.0196976
2806;269;4.722716999999999;52.0131733
2807;227;4.745017000000001;52.0096238
2808;14;4.7209221;52.0026314
2809;9;4.677305;52.0056974
2811;279;4.7457781;52.0427708
2821;136;4.734965700000001;51.9795191
2825;39;4.6980445;51.954479
2831;60;4.6904189;51.9866059
2841;188;4.6532566;51.9986902
2851;117;4.7979844;52.00349869999999
2855;18;4.8203439;51.9813616
2861;186;4.7796668;51.9352887
2865;44;4.8093523;51.9274534
2871;343;4.853836300000001;51.9481615
2901;118;4.5643509;51.9146801
2902;146;4.579013;51.9247094
2903;158;4.5928166;51.92947179999999
2904;135;4.606627899999999;51.9342328
2905;155;4.5996313;51.9411323
2906;116;4.5678162;51.9357444
2907;169;4.5824901;51.94577630000001
2908;37;4.5795932;51.957818
2909;26;4.5449679;51.9154297
2911;77;4.6202789;51.9575549
2912;130;4.605400299999999;51.9660917
2913;13;4.6080252;51.9819
2914;144;4.620110299999999;51.9761227
2921;57;4.5764079;51.9089135
2922;138;4.5910743;51.9189403
2923;121;4.6049682;51.9144235
2924;80;4.616419;51.924574
2925;119;4.6234097;51.9176753
2926;40;4.6073274;51.9090324
2931;148;4.62078;51.9018823
2935;124;4.6573823;51.94548959999999
2941;157;4.6982842;51.9173614
2951;175;4.6616995;51.86451599999999
2952;19;4.6710164;51.8522331
2953;109;4.647823799999999;51.8690364
2954;39;4.6874869;51.8727595
2957;159;4.672653;51.8812939
2959;54;4.7816185;51.9087071
2961;19;4.6310766;51.8855853
2964;81;4.8483146;51.9165792
